tax_group,tax_gs,tax_eco_food,tax_lh_amd,tax_lh_licm,tax_lh_ri#/d,test_exposure_type,test_media_type,result_effect,media_ph_mean,media_temperature_mean,result_conc1_mean_binary,result_conc1_type,result_obs_duration_mean,result_conc1_mean,result_conc1_mean_log,chem_name
algae,Anabaena_cylindrica,"",,,,S,FW,GRO,7.5,23,0,A,96,4.7,0.672097857935718,3-Trifluoromethyl-4-nitrophenol
algae,Anabaena_cylindrica,"",,,,S,FW,GRO,7.5,23,0,A,96,1.8,0.255272505103306,3-Trifluoromethyl-4-nitrophenol
algae,Anabaena_cylindrica,"",,,,S,FW,PHY,,,0,F,24,3.3,0.518513939877887,Fluridone
algae,Anabaena_cylindrica,"",,,,S,FW,PHY,,,0,F,96,5.6,0.748188027006201,Fluridone
algae,Anabaena_cylindrica,"",,,,S,FW,PHY,,24,1,F,24,0.253,-0.596879478824182,Atrazine
algae,Anabaena_cylindrica,"",,,,S,FW,PHY,,24,1,F,24,0.178,-0.749579997691106,Atrazine
algae,Anabaena_cylindrica,"",,,,S,FW,PHY,,24,1,F,24,0.182,-0.739928612014925,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,8,25,1,A,24,0.089,-1.05060999335509,Diquat
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,8,25,1,A,24,0.143,-0.844663962534938,Hexazinone
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0647070007324218,-1.18904872991889,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0539225006103515,-1.26822997596651,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0539225006103515,-1.26822997596651,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0323535003662109,-1.49007872558287,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0112158801269531,-1.95016664100375,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0323535003662109,-1.49007872558287,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0323535003662109,-1.49007872558287,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0198434802246093,-1.702382157293,Atrazine
algae,Aphanizomenon_flos-aquae,"",,,,S,FW,PHY,,21,1,F,72,0.0323535003662109,-1.49007872558287,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.0647070007324218,-1.18904872991889,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.0539225006103515,-1.26822997596651,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.0323535003662109,-1.49007872558287,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.0647070007324218,-1.18904872991889,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.0914525610351562,-1.03880412804582,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.107845001220703,-0.967199980302533,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.107845001220703,-0.967199980302533,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.107845001220703,-0.967199980302533,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.0836877209472656,-1.07733825904435,Atrazine
algae,Aulacoseira_granulata,"",,,,S,FW,PHY,,21,1,F,72,0.0647070007324218,-1.18904872991889,Atrazine
algae,Chlamydomonas_reinhardtii,"",,,,S,FW,PHY,,24,1,F,24,0.048,-1.31875876262441,Atrazine
algae,Chlamydomonas_reinhardtii,"",,,,S,FW,PHY,,24,1,F,24,0.019,-1.72124639904717,Atrazine
algae,Chlamydomonas_reinhardtii,"",,,,S,FW,PHY,,24,1,F,24,0.044,-1.35654732351381,Atrazine
algae,Chlamydomonas_reinhardtii,"",,,,S,FW,PHY,,22,1,F,24,0.0242134104919433,-1.61594403527883,Paraquat
algae,Chlamydomonas_reinhardtii,"",,,,S,FW,PHY,,30,0,F,96,700,2.84509804001426,Trichloroethylene
algae,Chlamydomonas_reinhardtii,"",,,,S,FW,PHY,,30,0,F,96,700,2.84509804001426,Trichloroethylene
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,,0,F,96,370,2.568201724067,Phenol
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,,0,F,96,170,2.23044892137827,2-Chlorophenol
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,,0,F,96,29,1.46239799789896,4-Chlorophenol
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,,0,F,96,9.2,0.963787827345555,"2,4-Dichlorophenol"
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,,0,F,96,9.7,0.986771734266245,"2,6-Dichlorophenol"
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,,0,F,96,10.1,1.00432137378264,"2,3,4,6-Tetrachlorophenol"
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,,0,F,96,10.3,1.01283722470517,Pentachlorophenol
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,20,0,F,24,525,2.72015930340596,Benzene
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,20,0,F,24,55,1.74036268949424,ortho-Xylene
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,20,0,F,24,33,1.51851393987789,Naphthalene
algae,Chlorella_vulgaris,"",,,,S,FW,GRO,,20,0,F,24,245,2.38916608436453,Toluene
