tax_group,tax_gs,tax_eco_food,tax_lh_amd,tax_lh_licm,tax_lh_ri#/d,test_exposure_type,test_media_type,result_effect,media_ph_mean,media_temperature_mean,result_conc1_mean_binary,result_conc1_type,result_obs_duration_mean,result_conc1_mean,result_conc1_mean_log,chem_name
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8.2,19,0,A,72,32.52,1.51215053692203,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8.2,19,0,A,96,28.8,1.45939248775923,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8.2,19,0,A,24,33.05,1.51917146382166,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8.2,19,0,A,48,26.18,1.41796964221474,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8.2,19,0,A,72,21.11,1.32448823330766,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8.2,19,0,A,96,16.66,1.22167499707077,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8,,0,A,48,28.1,1.44870631990508,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8,,0,A,48,29.5,1.46982201597816,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8,,0,A,48,26.7,1.42651126136458,Dichlorvos
fish,Abramis_brama,C_H,5475,72,,R,FW,MOR,8,,0,A,48,26,1.41497334797082,Dichlorvos
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,25.7,1,F,24,0.87,-0.0604807473813814,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,25.7,1,F,48,0.51,-0.292429823902064,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,25.7,1,F,96,0.18,-0.744727494896694,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,25.7,1,F,24,0.86,-0.0655015487564322,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,25.2,1,F,48,0.64,-0.193820026016113,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,25.2,1,F,96,0.39,-0.408935392973501,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,24.9,0,F,48,1.01,0.0043213737826425,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,24.9,1,F,96,0.59,-0.229147988357856,Fenitrothion
